objectID,dimensionType,dimension,unitName
43595,width,22.8,centimeters
43595,height,28.5,centimeters
43599,width,71.5,centimeters
43599,height,91.5,centimeters
43610,width,33.8,centimeters
43610,height,41.4,centimeters
43631,width,61.3,centimeters
43631,height,50.8,centimeters
43632,width,72.7,centimeters
43632,height,57.5,centimeters
43637,width,72.4,centimeters
43637,height,91.8,centimeters
43640,width,30.5,centimeters
43640,height,38.4,centimeters
43673,width,50.9,centimeters
43673,height,61.0,centimeters
43674,width,50.9,centimeters
43674,height,61.1,centimeters
43675,width,63.7,centimeters
43675,height,76.1,centimeters
43676,width,63.1,centimeters
43676,height,76.4,centimeters
43705,width,74.2,centimeters
43705,height,91.8,centimeters
43707,width,71.2,centimeters
43707,height,91.7,centimeters
43708,width,71.2,centimeters
43708,height,91.7,centimeters
43711,width,60.7,centimeters
43711,height,51.5,centimeters
43712,width,55.9,centimeters
43712,height,71.3,centimeters
45644,width,83.6,centimeters
45644,height,48.2,centimeters
45852,width,66.8,centimeters
45852,height,51.6,centimeters
46530,width,65.0,centimeters
46530,height,80.8,centimeters
45854,width,69.4,centimeters
45854,height,85.7,centimeters
45855,width,62.2,centimeters
45855,height,47.0,centimeters
46048,width,28.5,centimeters
46048,height,39.5,centimeters
46537,width,126.8,centimeters
46537,height,100.3,centimeters
45857,width,46.2,centimeters
45857,height,36.9,centimeters
45860,width,65.0,centimeters
45860,height,49.0,centimeters
46049,width,35.0,centimeters
46049,height,47.0,centimeters
46066,width,19.0,centimeters
46066,height,25.7,centimeters
46527,width,68.3,centimeters
46527,height,92.8,centimeters
46539,width,50.8,centimeters
46539,height,61.3,centimeters
46528,width,70.2,centimeters
46528,height,105.5,centimeters
46540,width,21.5,centimeters
46540,height,28.8,centimeters
46425,width,89.2,centimeters
46425,height,104.1,centimeters
46561,width,47.5,centimeters
46561,height,55.0,centimeters
46563,width,74.3,centimeters
46563,height,162.0,centimeters
45879,width,46.8,centimeters
45879,height,62.5,centimeters
45883,width,108.0,centimeters
45883,height,151.2,centimeters
45960,width,68.6,centimeters
45960,height,103.2,centimeters
45963,width,66.0,centimeters
45963,height,82.0,centimeters
45966,width,26.7,centimeters
45966,height,36.5,centimeters
46564,width,81.3,centimeters
46564,height,100.3,centimeters
46025,width,19.3,centimeters
46025,height,26.6,centimeters
46041,width,81.2,centimeters
46041,height,101.5,centimeters
46046,width,41.5,centimeters
46046,height,27.4,centimeters
46054,width,286.6,centimeters
46054,height,222.0,centimeters
46550,width,62.0,centimeters
46550,height,87.2,centimeters
46192,width,102.2,centimeters
46192,height,127.0,centimeters
46565,width,69.3,centimeters
46565,height,56.2,centimeters
46566,width,146.7,centimeters
46566,height,115.0,centimeters
46508,width,18.7,centimeters
46508,height,27.3,centimeters
46567,width,130.8,centimeters
46567,height,81.3,centimeters
46486,width,58.9,centimeters
46486,height,88.8,centimeters
46487,width,73.5,centimeters
46487,height,59.5,centimeters
46488,width,35.0,centimeters
46488,height,25.9,centimeters
46495,width,33.0,centimeters
46495,height,36.2,centimeters
46496,width,46.4,centimeters
46496,height,61.0,centimeters
46497,width,65.1,centimeters
46497,height,53.5,centimeters
46501,width,73.6,centimeters
46501,height,60.1,centimeters
46515,width,24.4,centimeters
46515,height,35.6,centimeters
46510,width,38.4,centimeters
46510,height,46.3,centimeters
46511,width,79.7,centimeters
46511,height,100.4,centimeters
46514,width,49.4,centimeters
46514,height,61.3,centimeters
46548,width,60.6,centimeters
46548,height,77.9,centimeters
46547,width,73.7,centimeters
46547,height,92.4,centimeters
46551,width,46.7,centimeters
46551,height,81.1,centimeters
46552,width,91.7,centimeters
46552,height,60.2,centimeters
46553,width,54.2,centimeters
46553,height,65.3,centimeters
46581,width,113.7,centimeters
46581,height,68.4,centimeters
46582,width,97.2,centimeters
46582,height,130.5,centimeters
46605,width,100.3,centimeters
46605,height,81.0,centimeters
46587,width,52.5,centimeters
46587,height,60.4,centimeters
46590,width,267.0,centimeters
46590,height,166.7,centimeters
46603,width,94.0,centimeters
46603,height,75.0,centimeters
46604,width,61.0,centimeters
46604,height,74.0,centimeters
46606,width,92.4,centimeters
46606,height,73.4,centimeters
46607,width,112.1,centimeters
46607,height,153.7,centimeters
46609,width,60.7,centimeters
46609,height,76.5,centimeters
46610,width,60.6,centimeters
46610,height,76.6,centimeters
46611,width,46.0,centimeters
46611,height,55.2,centimeters
46612,width,51.0,centimeters
46612,height,64.0,centimeters
46613,width,30.7,centimeters
46613,height,40.6,centimeters
46614,width,73.3,centimeters
46614,height,92.0,centimeters
46615,width,162.6,centimeters
46615,height,131.2,centimeters
46616,width,100.3,centimeters
46616,height,81.6,centimeters
46617,width,81.3,centimeters
46617,height,65.4,centimeters
46618,width,100.0,centimeters
46618,height,80.7,centimeters
46631,width,55.9,centimeters
46631,height,61.0,centimeters
46634,width,60.0,centimeters
46634,height,92.4,centimeters
46635,width,146.4,centimeters
46635,height,97.2,centimeters
46641,width,60.9,centimeters
46641,height,50.2,centimeters
46642,width,50.2,centimeters
46642,height,65.1,centimeters
46643,width,38.1,centimeters
46643,height,47.7,centimeters
46664,width,50.2,centimeters
46664,height,61.0,centimeters
46665,width,229.6,centimeters
46665,height,212.8,centimeters
46666,width,69.9,centimeters
46666,height,100.0,centimeters
46667,width,97.2,centimeters
46667,height,130.2,centimeters
46668,width,60.2,centimeters
46668,height,73.0,centimeters
46669,width,82.0,centimeters
46669,height,100.3,centimeters
46670,width,130.2,centimeters
46670,height,97.2,centimeters
46671,width,69.0,centimeters
46671,height,105.3,centimeters
46672,width,93.7,centimeters
46672,height,151.5,centimeters
46677,width,91.7,centimeters
46677,height,71.2,centimeters
46690,width,55.8,centimeters
46690,height,46.3,centimeters
46691,width,65.1,centimeters
46691,height,92.1,centimeters
46697,width,54.0,centimeters
46697,height,73.0,centimeters
46698,width,81.0,centimeters
46698,height,59.7,centimeters
46699,width,92.1,centimeters
46699,height,73.4,centimeters
46700,width,90.4,centimeters
46700,height,73.0,centimeters
46701,width,73.0,centimeters
46701,height,60.0,centimeters
46702,width,73.0,centimeters
46702,height,60.4,centimeters
46703,width,60.4,centimeters
46703,height,73.0,centimeters
46705,width,136.0,centimeters
46705,height,99.6,centimeters
46706,width,124.4,centimeters
46706,height,195.6,centimeters
46707,width,72.3,centimeters
46707,height,99.0,centimeters
46708,width,121.6,centimeters
46708,height,195.9,centimeters
46709,width,66.7,centimeters
46709,height,87.0,centimeters
